,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
79,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,1.0,mt Malta,66.0,3547.0,Oleksandr Zinchenko,4-2-3-1,Morten Krogh,Match Report,,16.0,6.0,1,1,3.0,0,Ukraine
80,2023-11-20,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,0.0,0.0,it Italy,42.0,26403.0,Taras Stepanenko,4-1-4-1,Jesús Gil,Match Report,,7.0,4.0,0,0,2.0,1,Ukraine
81,2024-03-21,20:45,UEFA Euro Qualifying,Semi-finals,Thu,Away,W,2.0,1.0,ba Bosnia & Herz'na,66.0,,Oleksandr Zinchenko,4-2-3-1,Felix Zwayer,Match Report,,12.0,4.0,0,0,1.0,0,Ukraine
82,2024-03-26,20:45,UEFA Euro Qualifying,Finals,Tue,Home,W,2.0,1.0,is Iceland,60.0,,Mykola Matviyenko,4-3-3,Clément Turpin,Match Report,,13.0,5.0,0,0,2.0,0,Ukraine
83,2024-06-03,20:45,Friendlies (M),Friendlies (M),Mon,Away,D,0.0,0.0,de Germany,,42789.0,Taras Stepanenko,5-4-1,Walter Altmann,Match Report,,,,0,0,,1,Ukraine
84,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,wls Wales,67.0,33474.0,Luka Modrić,4-3-3,João Pinheiro,Match Report,,19.0,8.0,0,0,0.0,0,Croatia
85,2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,2.0,0.0,tr Türkiye,54.0,37750.0,Luka Modrić,4-3-3,Andreas Ekberg,Match Report,,9.0,5.0,0,0,5.0,1,Croatia
86,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,5.0,0.0,lv Latvia,75.0,8152.0,Luka Modrić,4-2-3-1,Philip Farrugia,Match Report,,28.0,14.0,0,0,3.0,1,Croatia
87,2023-09-11,20:00,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,am Armenia,68.0,14233.0,Luka Modrić,4-3-3,Clément Turpin,Match Report,,26.0,8.0,0,0,2.0,1,Croatia
88,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,0.0,1.0,tr Türkiye,63.0,12812.0,Luka Modrić,4-3-3,Anthony Taylor,Match Report,,17.0,6.0,0,0,6.0,0,Croatia
