,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation,xG,xGA,Venue Num,target
68,2022-12-18,18:00,World Cup,Final,Sun,Neutral,D,3 (2),3 (4),Argentina,46.0,88966.0,Hugo Lloris,4-2-3-1,Szymon Marciniak,Match Report,Argentina won on penalty kicks following extra time,8.0,3.0,2,2,7.0,0,France,2.2,3.2,3,2.0
204,2023-03-23,19:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4.0,0.0,Liechtenstein,82.0,45378.0,Cristiano Ronaldo,3-1-4-2,Espen Andreas Eskås,Match Report,,35.0,11.0,1,1,1.0,1,Portugal,,,1,3.0
51,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,1.0,Italy,42.0,44536.0,Harry Kane,4-3-3,Srđan Jovanović,Match Report,,7.0,4.0,1,1,0.0,0,England,,,2,3.0
62,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,1.0,2.0,England,58.0,44536.0,Marco Verratti,4-3-3,Srđan Jovanović,Match Report,,10.0,1.0,0,0,2.0,0,Italy,,,1,1.0
166,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3.0,1.0,Finland,58.0,35851.0,Simon Kjær,4-3-1-2,Daniel Siebert,Match Report,,18.0,10.0,0,0,1.0,0,Denmark,,,1,3.0
217,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,D,0.0,0.0,Luxembourg,52.0,3523.0,Juraj Kucka,4-3-3,Rade Obrenović,Match Report,,18.0,3.0,0,0,2.0,1,Slovakia,,,1,2.0
41,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,0.0,4.0,France,59.0,77328.0,Virgil van Dijk,4-3-3,Maurizio Mariani,Match Report,,11.0,5.0,0,1,4.0,0,Netherlands,,,2,1.0
156,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2.0,0.0,Lithuania,60.0,21125.0,Dušan Tadić,3-4-3,Lawrence Visser,Match Report,,15.0,4.0,0,0,3.0,1,Serbia,,,1,3.0
135,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0.0,3.0,Belgium,44.0,49296.0,Victor Lindelöf,4-4-2,Orel Grinfeeld,Match Report,,9.0,4.0,0,0,2.0,0,Sweden,,,1,1.0
104,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1,3,Czechia,64.0,19045.0,Robert Lewandowski,4-2-3-1,Anastasios Sidiropoulos,Match Report,,11.0,4.0,0,0,3.0,0,Poland,,,2,1.0
114,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,Sweden,56.0,49296.0,Kevin De Bruyne,4-2-2-2,Orel Grinfeeld,Match Report,,14.0,5.0,0,0,3.0,1,Belgium,,,2,3.0
31,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,4.0,0.0,Netherlands,41.0,77328.0,Kylian Mbappé,4-2-3-1,Maurizio Mariani,Match Report,,12.0,8.0,0,0,4.0,1,France,,,1,3.0
124,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,4.0,1.0,Azerbaijan,51.0,16500.0,Marcel Sabitzer,4-4-2,Bartosz Frankowski,Match Report,,25.0,12.0,0,0,2.0,0,Austria,,,1,3.0
10,2023-03-25,14:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,Cyprus,62.0,48195.0,Andrew Robertson,3-4-3,Duje Strukan,Match Report,,11.0,6.0,0,0,2.0,1,Scotland,,,1,3.0
84,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,Wales,67.0,33474.0,Luka Modrić,4-3-3,João Pinheiro,Match Report,,19.0,8.0,0,0,0.0,0,Croatia,,,1,2.0
178,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,0.0,Andorra,71.0,2927.0,Nicolae Stanciu,4-1-4-1,Dario Bel,Match Report,,12.0,4.0,0,0,1.0,1,Romania,,,2,3.0
191,2023-03-25,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,5.0,0.0,Belarus,71.0,,Granit Xhaka,4-3-2-1,Alejandro Hernández,Match Report,,14.0,6.0,0,0,1.0,1,Switzerland,,,2,3.0
0,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,Norway,63.0,29214.0,Álvaro Morata,4-3-3,Benoît Bastien,Match Report,,13.0,7.0,0,0,2.0,1,Spain,,,1,3.0
218,2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,Bosnia & Herz'na,45.0,6052.0,Juraj Kucka,4-3-3,Marco Di Bello,Match Report,,14.0,4.0,0,0,1.0,1,Slovakia,,,1,3.0
167,2023-03-26,19:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,2.0,3.0,Kazakhstan,61.0,28697.0,Simon Kjær,4-3-3,Novak Simović,Match Report,,14.0,7.0,0,0,5.0,0,Denmark,,,2,1.0
205,2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,6.0,0.0,Luxembourg,62.0,9231.0,Cristiano Ronaldo,3-4-3,Radu Petrescu,Match Report,,14.0,8.0,0,1,1.0,1,Portugal,,,2,3.0
63,2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2.0,0.0,Malta,69.0,16015.0,Gianluigi Donnarumma,4-3-3,Georgi Kabakov,Match Report,,17.0,6.0,0,0,2.0,1,Italy,,,2,3.0
52,2023-03-26,17:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,Ukraine,58.0,83947.0,Harry Kane,4-3-3,Serdar Gözübüyük,Match Report,,18.0,8.0,0,0,0.0,1,England,,,1,3.0
73,2023-03-26,17:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,0.0,2.0,England,42.0,83947.0,Oleksandr Zinchenko,4-2-3-1,Serdar Gözübüyük,Match Report,,3.0,0.0,0,0,6.0,0,Ukraine,,,2,1.0
42,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3.0,0.0,Gibraltar,87.0,36327.0,Virgil van Dijk,4-3-3,Morten Krogh,Match Report,,51.0,12.0,0,0,0.0,1,Netherlands,,,1,3.0
136,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,5.0,0.0,Azerbaijan,42.0,23674.0,Victor Lindelöf,4-4-2,Stéphanie Frappart,Match Report,,15.0,6.0,0,0,1.0,1,Sweden,,,1,3.0
157,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,2.0,0.0,Montenegro,65.0,9831.0,Dušan Tadić,3-4-3,Clément Turpin,Match Report,,10.0,2.0,0,0,2.0,1,Serbia,,,2,3.0
93,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0.0,1.0,Poland,45.0,56227.0,Elseid Hysaj,4-1-4-1,Slavko Vinčič,Match Report,,7.0,3.0,0,0,3.0,0,Albania,,,2,1.0
105,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1,0,Albania,55.0,56227.0,Robert Lewandowski,4-4-2,Slavko Vinčič,Match Report,,11.0,5.0,0,0,3.0,1,Poland,,,1,3.0
145,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3.0,0.0,Bulgaria,55.0,53000.0,Dominik Szoboszlai,3-4-3,Halil Umut Meler,Match Report,,14.0,9.0,0,0,2.0,1,Hungary,,,1,3.0
32,2023-03-27,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,Rep. of Ireland,65.0,50219.0,Kylian Mbappé,4-3-3,Artur Soares Dias,Match Report,,11.0,4.0,0,0,2.0,1,France,,,2,3.0
125,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2.0,1.0,Estonia,66.0,16500.0,Konrad Laimer,4-4-2,Enea Jorgji,Match Report,,19.0,8.0,0,1,2.0,0,Austria,,,1,3.0
1,2023-03-28,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0.0,2.0,Scotland,75.0,47976.0,Rodri,4-3-3,Sandro Schärer,Match Report,,8.0,3.0,0,0,1.0,0,Spain,,,2,1.0
192,2023-03-28,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,0.0,Israel,69.0,14819.0,Granit Xhaka,4-3-2-1,Nikola Dabanović,Match Report,,16.0,9.0,0,0,1.0,1,Switzerland,,,1,3.0
85,2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,2.0,0.0,Türkiye,54.0,37750.0,Luka Modrić,4-3-3,Andreas Ekberg,Match Report,,9.0,5.0,0,0,5.0,1,Croatia,,,2,3.0
21,2023-03-28,20:00,UEFA Euro Qualifying,Group stage,Tue,Home,D,1,1,Norway,34.0,20300.0,Guram Kashia,5-3-2,Andris Treimanis,Match Report,,15.0,3.0,0,0,5.0,0,Georgia,,,1,2.0
11,2023-03-28,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,Spain,25.0,47976.0,Andrew Robertson,3-4-3,Sandro Schärer,Match Report,,9.0,3.0,0,0,3.0,1,Scotland,,,1,3.0
179,2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,1.0,Belarus,52.0,27837.0,Nicolae Stanciu,4-3-3,Allard Lindhout,Match Report,,20.0,3.0,0,0,4.0,0,Romania,,,1,3.0
52,2023-06-14,20:45,UEFA Nations League,Semi-finals,Wed,Neutral,W,4,2,Netherlands,54.0,39359.0,Luka Modrić,4-3-2-1,István Kovács,Match Report,Required Extra Time,14.0,5.0,2,2,4.0,0,Croatia,,,3,3.0
