,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
101,2021-09-02,20:45,WCQ,First round,Thu,Away,W,2,0,li Liechtenstein,,,85.0,7958.0,Joshua Kimmich,4-2-3-1,Fábio Veríssimo,Match Report,,30.0,7.0,0,0,0.0,1,Germany
102,2021-09-05,20:45,WCQ,First round,Sun,Home,W,6,0,am Armenia,,,76.0,18086.0,Manuel Neuer,4-2-3-1,William Collum,Match Report,,23.0,12.0,0,0,1.0,1,Germany
103,2021-09-08,18:45,WCQ,First round,Wed,Away,W,4,0,is Iceland,,,71.0,3505.0,Manuel Neuer,4-2-3-1,Andreas Ekberg,Match Report,,19.0,8.0,0,0,2.0,1,Germany
104,2021-10-08,20:45,WCQ,First round,Fri,Home,W,2,1,ro Romania,,,77.0,25000.0,Joshua Kimmich,4-2-3-1,Cüneyt Çakιr,Match Report,,22.0,6.0,0,0,0.0,0,Germany
105,2021-10-11,20:45,WCQ,First round,Mon,Away,W,4,0,mk N. Macedonia,,,74.0,16182.0,Manuel Neuer,4-2-3-1,Danny Makkelie,Match Report,,24.0,10.0,0,0,1.0,1,Germany
106,2021-11-11,20:45,WCQ,First round,Thu,Home,W,9,0,li Liechtenstein,,,82.0,25984.0,Manuel Neuer,4-2-3-1,Ivana Martinčić,Match Report,,42.0,23.0,1,1,0.0,1,Germany
107,2021-11-14,21:00,WCQ,First round,Sun,Away,W,4,1,am Armenia,,,75.0,7200.0,Thomas Müller,3-5-2,François Letexier,Match Report,,20.0,9.0,1,1,0.0,0,Germany
108,2022-03-26,20:45,Friendlies (M),Friendlies (M),Sat,Neutral,W,2,0,il Israel,,,,,İlkay Gündoğan,4-4-2,Maurizio Mariani,Match Report,,,,0,1,,2,Germany
109,2022-03-29,20:45,Friendlies (M),Friendlies (M),Tue,Neutral,D,1,1,nl Netherlands,,,,50387.0,Manuel Neuer,4-2-3-1,Craig Pawson,Match Report,,,,0,0,,0,Germany
110,2022-11-16,21:00,Friendlies (M),Friendlies (M),Wed,Neutral,W,1,0,om Oman,,,,,Manuel Neuer,4-2-3-1,Mohammed Khaled Al Hoish,Match Report,,,,0,0,,1,Germany
111,2022-11-23,16:00,World Cup,Group stage,Wed,Neutral,L,1,2,jp Japan,3.1,1.5,74.0,42608.0,Manuel Neuer,4-2-3-1,Iván Barton,Match Report,,25.0,8.0,1,1,2.0,0,Germany
112,2022-11-27,22:00,World Cup,Group stage,Sun,Neutral,D,1,1,es Spain,1.3,0.6,36.0,68895.0,Manuel Neuer,4-2-3-1,Danny Makkelie,Match Report,,11.0,4.0,0,0,2.0,0,Germany
113,2022-12-01,22:00,World Cup,Group stage,Thu,Neutral,W,4,2,cr Costa Rica,5.7,1.3,68.0,67054.0,Manuel Neuer,4-2-3-1,Stéphanie Frappart,Match Report,,32.0,11.0,0,0,4.0,0,Germany
114,2021-03-24,20:45,WCQ,First round,Wed,Away,L,0,1,si Slovenia,,,69.0,,Luka Modrić,4-2-3-1,Antonio Matéu Lahoz,Match Report,,11.0,3.0,0,0,3.0,0,Croatia
115,2021-03-27,18:00,WCQ,First round,Sat,Home,W,1,0,cy Cyprus,,,69.0,,Luka Modrić,4-1-4-1,Kristo Tohver,Match Report,,17.0,3.0,0,0,2.0,1,Croatia
116,2021-03-30,20:45,WCQ,First round,Tue,Home,W,3,0,mt Malta,,,67.0,,Domagoj Vida,4-2-3-1,Lionel Tschudi,Match Report,,15.0,6.0,1,1,1.0,1,Croatia
117,2021-09-01,21:45,WCQ,First round,Wed,Away,D,0,0,ru Russia,,,60.0,18708.0,Ivan Perišić,4-2-3-1,Roi Reinshreiber,Match Report,,15.0,2.0,0,0,3.0,1,Croatia
