,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
109,2022-06-14,20:45,UEFA Nations League,League A,Tue,Home,W,5,2,it Italy,65.0,44144.0,Manuel Neuer,4-2-3-1,István Kovács,Match Report,,17,9,1,1,4,0,Germany
110,2022-09-23,20:45,UEFA Nations League,League A,Fri,Home,L,0,1,hu Hungary,73.0,39513.0,Thomas Müller,4-2-3-1,Slavko Vinčič,Match Report,,10,3,0,0,2,0,Germany
111,2022-09-26,19:45,UEFA Nations League,League A,Mon,Away,D,3,3,eng England,59.0,78949.0,Joshua Kimmich,4-2-3-1,Danny Makkelie,Match Report,,10,4,1,1,5,0,Germany
112,2022-06-04,18:00,UEFA Nations League,League A,Sat,Away,L,0,1,hu Hungary,58.0,26935.0,Harry Kane,3-4-3,Artur Dias,Match Report,,12,4,0,0,4,0,England
113,2022-06-07,20:45,UEFA Nations League,League A,Tue,Away,D,1,1,de Germany,37.0,66289.0,Harry Kane,4-2-3-1,Carlos del Cerro,Match Report,,15,6,0,0,5,0,England
114,2022-06-11,19:45,UEFA Nations League,League A,Sat,Home,D,0,0,it Italy,59.0,1782.0,Tammy Abraham,4-2-3-1,Szymon Marciniak,Match Report,,12,4,0,0,3,1,England
115,2022-06-14,19:45,UEFA Nations League,League A,Tue,Home,L,0,4,hu Hungary,69.0,28839.0,Harry Kane,4-3-3,Clément Turpin,Match Report,,10,2,0,0,1,0,England
116,2022-09-23,20:45,UEFA Nations League,League A,Fri,Away,L,0,1,it Italy,56.0,50640.0,Harry Kane,4-2-3-1,Jesús Gil,Match Report,,14,4,0,0,2,0,England
117,2022-09-26,19:45,UEFA Nations League,League A,Mon,Home,D,3,3,de Germany,41.0,78949.0,Harry Kane,3-4-3,Danny Makkelie,Match Report,,13,8,1,1,1,0,England
118,2022-06-03,20:45,UEFA Nations League,League A,Fri,Away,W,4,1,be Belgium,50.0,38327.0,Virgil van Dijk,3-4-1-2,José Sánchez,Match Report,,15,7,0,0,5,0,Netherlands
